meas_mean,meas_min,meas_max,meas_std,n_samples,meas_range,ref_value,bias,corr_mean_ref,corr_min_ref,corr_max_ref
9.553333333333333,9.4,9.89,0.17727567985109213,6,0.4900000000000002,8.0,-1.5533333333333328,0.7310300308872466,0.725500905105548,0.730291083609518
9.933333333333334,9.81,9.99,0.07229568912920499,6,0.17999999999999972,8.59,-1.3433333333333337,0.7310300308872466,0.725500905105548,0.730291083609518
9.778333333333334,9.52,9.95,0.1606756567332672,6,0.4299999999999997,8.61,-1.1683333333333348,0.7310300308872466,0.725500905105548,0.730291083609518
9.321666666666667,9.03,9.57,0.24725829948995948,6,0.5400000000000009,8.64,-0.6816666666666666,0.7310300308872466,0.725500905105548,0.730291083609518
8.788333333333334,8.61,8.97,0.1397736265060999,6,0.3600000000000012,8.4,-0.38833333333333364,0.7310300308872466,0.725500905105548,0.730291083609518
8.413333333333332,8.2,8.64,0.15095253117012178,6,0.4400000000000013,7.86,-0.5533333333333319,0.7310300308872466,0.725500905105548,0.730291083609518
8.185,8.03,8.39,0.11743083070471719,6,0.3600000000000012,7.39,-0.7950000000000008,0.7310300308872466,0.725500905105548,0.730291083609518
7.943333333333334,7.82,8.14,0.11147495981908538,6,0.3200000000000003,7.1,-0.8433333333333346,0.7310300308872466,0.725500905105548,0.730291083609518
7.963333333333334,7.77,8.21,0.15908069231263264,6,0.4400000000000013,6.95,-1.0133333333333336,0.7310300308872466,0.725500905105548,0.730291083609518
8.166666666666666,8.01,8.36,0.13677231688710603,6,0.34999999999999964,6.42,-1.7466666666666661,0.7310300308872466,0.725500905105548,0.730291083609518
7.7250000000000005,7.55,8.02,0.17421251390184334,6,0.46999999999999975,6.31,-1.415000000000001,0.7310300308872466,0.725500905105548,0.730291083609518
8.023333333333333,7.81,8.15,0.12160043859570066,6,0.34000000000000075,6.62,-1.4033333333333333,0.7310300308872466,0.725500905105548,0.730291083609518
8.438333333333333,8.31,8.79,0.17803557696894953,6,0.47999999999999865,6.82,-1.6183333333333323,0.7310300308872466,0.725500905105548,0.730291083609518
8.866666666666667,8.67,9.05,0.15448840301675354,6,0.3800000000000008,6.97,-1.8966666666666674,0.7310300308872466,0.725500905105548,0.730291083609518
8.981666666666667,8.9,9.04,0.06337717780610497,6,0.1399999999999988,6.96,-2.0216666666666674,0.7310300308872466,0.725500905105548,0.730291083609518
8.881666666666666,8.73,9.09,0.1361494277133279,6,0.35999999999999943,7.18,-1.7016666666666662,0.7310300308872466,0.725500905105548,0.730291083609518
8.646666666666667,8.47,8.83,0.13691846722289266,6,0.35999999999999943,7.26,-1.3866666666666667,0.7310300308872466,0.725500905105548,0.730291083609518
8.541666666666666,8.44,8.67,0.09887702800280128,6,0.23000000000000043,7.26,-1.2816666666666663,0.7310300308872466,0.725500905105548,0.730291083609518
8.628333333333332,8.43,8.79,0.13862419221285543,6,0.35999999999999943,7.39,-1.2383333333333324,0.7310300308872466,0.725500905105548,0.730291083609518
8.631666666666666,8.49,8.77,0.10888832199398919,6,0.27999999999999936,7.45,-1.1816666666666658,0.7310300308872466,0.725500905105548,0.730291083609518
8.770000000000001,8.71,8.89,0.06841052550594846,6,0.17999999999999972,7.45,-1.3200000000000012,0.7310300308872466,0.725500905105548,0.730291083609518
8.965,8.84,9.04,0.07259476565152609,6,0.1999999999999993,7.1,-1.8650000000000002,0.7310300308872466,0.725500905105548,0.730291083609518
8.763333333333334,8.69,8.99,0.11360751148875016,6,0.3000000000000007,7.12,-1.6433333333333335,0.7310300308872466,0.725500905105548,0.730291083609518
8.87,8.76,8.95,0.08342661445845669,6,0.1899999999999995,7.27,-1.5999999999999996,0.7310300308872466,0.725500905105548,0.730291083609518
9.068333333333333,8.95,9.24,0.11771434350437739,6,0.2900000000000009,7.71,-1.3583333333333334,0.7310300308872466,0.725500905105548,0.730291083609518
9.198333333333332,9.13,9.29,0.06013872850889512,6,0.15999999999999837,8.48,-0.7183333333333319,0.7310300308872466,0.725500905105548,0.730291083609518
8.921666666666667,8.64,9.16,0.17267503197239203,6,0.5199999999999996,8.14,-0.7816666666666663,0.7310300308872466,0.725500905105548,0.730291083609518
8.285,7.98,8.61,0.2057911562725662,6,0.629999999999999,7.55,-0.7350000000000003,0.7310300308872466,0.725500905105548,0.730291083609518
7.266666666666667,6.78,7.67,0.29561235878539754,6,0.8899999999999997,6.78,-0.48666666666666636,0.7310300308872466,0.725500905105548,0.730291083609518
6.058333333333334,5.74,6.61,0.30537954526566885,6,0.8700000000000001,5.86,-0.19833333333333325,0.7310300308872466,0.725500905105548,0.730291083609518
5.343333333333334,5.18,5.61,0.1603329868326126,6,0.4300000000000006,5.08,-0.26333333333333364,0.7310300308872466,0.725500905105548,0.730291083609518
